-0.01152,-0.0411429,0.576,0.80567,0.010306,0.35568
0.091419,-0.0788095,0.662,0.90061,-0.097604,0.36393
-0.0714095,-0.114876,0.652,0.8846,0.068961,0.40319
-0.124171,-0.03816,0.636,0.84262,0.10661,0.34669
-0.039881,0.0875,0.625,0.80207,0.03329,0.24737
0.13879,0.0837238,0.59,0.77217,-0.13743,0.26254
-0.228635,-0.0259933,0.557,0.7837,0.22958,0.35798
-0.121424,-0.0751133,0.593,0.83053,0.12798,0.38867
-0.0266333,-0.2023,0.595,0.88339,0.029666,0.51485
0.13178,-0.146612,0.599,0.8692,-0.13714,0.46322
0.219332,-0.12899,0.527,0.7949,-0.22075,0.49307
-0.0376819,-0.108916,0.542,0.79835,0.042567,0.4548
-0.1665,-0.00321429,0.675,0.87663,0.15534,0.31301
-0.0696038,-0.112171,0.604,0.86258,0.065526,0.42066
-0.00974667,-0.138173,0.602,0.87619,0.014549,0.45948
-0.2185,-0.1805,0.525,0.8173,0.22464,0.51848
0.0287,-0.0146429,0.615,0.85017,-0.029407,0.34529
-0.0723619,0.0270667,0.58,0.78937,0.0676,0.31463
0.0234105,-0.0552886,0.523,0.75622,-0.025811,0.39812
0.233408,0.0382724,0.566,0.76131,-0.23007,0.29737
